molecule_chembl_id,cleaned_canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4226299,Cn1cc(-c2nn(Cc3ccc(C(=O)N4CCCCC4)cc3)c(=O)c3ccccc23)cn1,inactive,427.50800000000015,3.471400000000002,0.0,6.0,4.13608262304214
CHEMBL4227193,Cn1cc(-c2nn(Cc3ccc(C(=O)N4CCOCC4)cc3)c(=O)c3ccccc23)cn1,inactive,429.4800000000002,2.3177000000000003,0.0,7.0,4.0
CHEMBL4227804,CN1CCC(NC(=O)c2ccc(Cn3nc(-c4cnn(C)c4)c4ccccc4c3=O)cc2)CC1,inactive,456.55000000000024,2.6693000000000007,1.0,7.0,4.325138859262188
CHEMBL4228646,Cn1cc(-c2nn(Cc3ccc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)cc3)c(=O)c3ccccc23)cn1,inactive,513.6220000000003,3.9422000000000033,1.0,7.0,4.562249437179612
CHEMBL4228067,Cn1cc(Nc2nn(Cc3ccc(C(=O)NC4CCCCC4)cc3)c(=O)c3ccccc23)cn1,intermediate,456.5500000000003,3.9844000000000035,2.0,7.0,5.080921907623926
CHEMBL4228906,O=C(NC1CCCCC1)c1ccc(Cn2nc(Nc3ccc(C(=O)N4CCOCC4)cc3)c3ccccc3c2=O)cc1,inactive,565.6740000000004,4.723300000000004,2.0,7.0,4.393618634889395
CHEMBL4228326,O=C(Nc1ccccc1Cl)c1ccc(Nc2nn(Cc3ccc(C(=O)NC4CCCCC4)cc3)c(=O)c3ccccc23)cc1,inactive,606.1260000000004,7.156600000000005,3.0,6.0,4.084072788302884
CHEMBL1651461,Cc1cc(Nc2nn(Cc3ccccc3)c(=O)c3ccccc23)n[nH]1,inactive,331.3790000000001,3.219920000000001,2.0,5.0,4.94692155651658
CHEMBL4228587,CC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)cc1,inactive,438.5610000000002,3.113120000000001,3.0,8.0,4.863279432843593
CHEMBL1173058,O=C1OC(O)C(Cl)=C1Cl,inactive,168.963,0.5508,1.0,3.0,3.9535048356652918
CHEMBL4244446,CC(C)OC1OC(=O)C(Cl)=C1Cl,inactive,211.04399999999998,1.9835,0.0,3.0,4.774690718274137
CHEMBL4241170,CC(C)(C)COC1OC(=O)C(Cl)=C1Cl,inactive,239.09799999999998,2.621200000000001,0.0,3.0,4.7544873321858505
CHEMBL4237871,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)N1CCOCC1,intermediate,311.3370000000001,2.4482,0.0,5.0,5.455931955649724
CHEMBL4249852,CC(NC1CCCCC1)c1cc2c(o1)C(=O)c1ccccc1C2=O,inactive,323.39200000000005,4.038300000000003,1.0,4.0,4.565431095965801
